Existence of nearby care centers - exists,Existence of special needs care centers - does not exist,Existence of health resources - exists,Type and size of medical resources - Hospitals,Existence of a first aid center - exists,Town,Observation URI,Total number of care centers,Type and size of medical resources - Clinics,Existence of special needs care centers - exists,Type and size of medical resources - Pharmacies,Total number of first aid centers,Type and size of medical resources - Labs and Radiology ,references,Percentage of towns with special needs indiciduals - Without special needs,Percentage of towns with special needs indiciduals - With special needs,refArea,publisher,dataset,Type and size of medical resources - Medical Centers
1,1,0,0,0,Aain Saadeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Saadeh,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Matn_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Tinta,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Tinta,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Traz,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Traz,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,1,Aain Yaaqoub,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Yaaqoub,0,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aain Zebdeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Zebdeh,1,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Western_Beqaa_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,0,Aain Zhalta,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Zhalta,1,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain challal,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+challal,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aainbal,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aainbal,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,1,0,1,Aaita Ej-Jabal,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaita+Ej-Jabal,1,1,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Bint_Jbeil_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aaiyat,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaiyat,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aajaltoun,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aajaltoun,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,http://dbpedia.org/resource/Keserwan_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,1,0,0,Aakkar El-Aatiqa,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aakkar+El-Aatiqa,1,1,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1
1,0,0,0,1,Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaley,1,0,1,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,1,Aaley Bsatine,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaley+Bsatine,0,0,0,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1
0,1,0,0,1,Aali En-Nahri,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aali+En-Nahri,0,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Zahl̩_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aalma,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalma,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Zgharta_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aalma Ech-Chaab,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalma+Ech-Chaab,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Tyre_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,1,Aalman,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalman,0,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Marjeyoun_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,1,0,0,Aalmane Ech-Chouf,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aalmane+Ech-Chouf,0,0,1,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,0,Aamaret El-Baykat,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aamaret+El-Baykat,0,1,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,0,Aamayer,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aamayer,0,2,0,2,0,1,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,1,0,Aamchit,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aamchit,0,3,0,12,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,0,Aammatour,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aammatour,0,1,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
